step,epoch,loss,eval_loss,learning_rate,grad_norm,mean_token_accuracy,eval_mean_token_accuracy,entropy,eval_entropy,gpu_vram_used_gb,gpu_vram_reserved_gb,cpu_percent,eval_runtime_s,eval_samples_per_second
50,0.023025558369790467,3.7476065063476565,,3.0061349693251535e-06,24.375,0.44628727465867996,,1.47450479388237,,9.678,66.186,4.0,,
100,0.046051116739580934,2.5286090087890627,,6.073619631901841e-06,5.65625,0.5485082960128784,,1.8368868625164032,,9.678,77.662,4.0,,
150,0.0690766751093714,1.7255325317382812,,9.14110429447853e-06,3.609375,0.6548602247238159,,1.6870561945438385,,9.678,77.662,2.5,,
200,0.09210223347916187,1.5415357971191406,,1.2208588957055216e-05,3.375,0.6774634140729904,,1.5308927416801452,,9.678,89.271,2.0,,
250,0.11512779184895233,1.4271978759765624,,1.5276073619631903e-05,3.484375,0.6933230358362198,,1.4294449639320375,,9.678,89.271,3.0,,
300,0.1381533502187428,1.3548037719726562,,1.834355828220859e-05,3.25,0.704652009010315,,1.3557611072063447,,9.678,89.271,5.0,,
350,0.16117890858853326,1.278345184326172,,1.999931869873983e-05,3.34375,0.714663358926773,,1.2802721774578094,,9.678,89.271,2.5,,
400,0.18420446695832374,1.2297811126708984,,1.9993137466255196e-05,3.234375,0.7225860500335693,,1.2355790412425995,,9.678,89.271,3.0,,
450,0.20723002532811421,1.194227828979492,,1.9980521404748785e-05,3.09375,0.7280438005924225,,1.1978458285331726,,9.678,89.271,3.0,,
500,0.23025558369790466,1.1633985137939453,,1.9961478638015457e-05,3.21875,0.7340523922443389,,1.1692309510707855,,9.678,89.271,3.5,,
500,0.23025558369790466,,1.5950803756713867,,,,0.6715483402810588,,1.3447777774529515,9.678,103.76,3.5,66.2735,138.245
550,0.25328114206769514,1.1332139587402343,,1.993602142816492e-05,3.484375,0.7379655450582504,,1.137511649131775,,9.678,103.76,3.0,,
600,0.2763067004374856,1.1102910614013672,,1.9904166167725885e-05,3.765625,0.7414573103189468,,1.113733147382736,,9.678,103.76,3.6,,
650,0.2993322588072761,1.1015480804443358,,1.9865933369090483e-05,3.671875,0.7422211915254593,,1.1068443644046784,,9.678,103.76,3.5,,
700,0.3223578171770665,1.0753710174560547,,1.982134765130585e-05,3.890625,0.7468787741661072,,1.0832857328653336,,9.678,103.76,12.4,,
750,0.345383375546857,1.064610824584961,,1.9770437724221282e-05,3.5,0.748192230463028,,1.0664682382345199,,9.678,103.76,3.5,,
800,0.3684089339166475,1.0427647399902344,,1.9713236370001286e-05,3.578125,0.7523224592208863,,1.047439426779747,,9.678,103.76,3.5,,
850,0.39143449228643795,1.0357340240478516,,1.9649780422016312e-05,4.21875,0.7523902046680451,,1.0446923381090165,,9.678,103.76,4.5,,
900,0.41446005065622843,1.0181362915039063,,1.9580110741124826e-05,4.21875,0.7560298985242844,,1.0206755352020265,,9.678,106.125,3.5,,
950,0.4374856090260189,0.9887019348144531,,1.9504272189362004e-05,4.15625,0.7621972471475601,,0.9956671631336212,,9.678,106.125,8.6,,
1000,0.46051116739580933,0.9734741973876954,,1.9422313601051958e-05,4.5625,0.7637935692071914,,0.9805269664525986,,9.678,106.125,2.0,,
1000,0.46051116739580933,,1.6941710710525513,,,,0.6648243102415694,,1.208934232410544,9.678,106.125,2.5,66.0232,138.769
1050,0.4835367257655998,0.9519078063964844,,1.933428775136208e-05,4.09375,0.7674007242918015,,0.954945792555809,,9.678,106.125,1.5,,
1100,0.5065622841353903,0.9289139556884766,,1.9240251322319833e-05,5.65625,0.7719865852594375,,0.9372432959079743,,9.678,106.125,12.3,,
1150,0.5295878425051808,0.9218866729736328,,1.914026486631377e-05,4.75,0.7731470090150833,,0.9271850436925888,,9.678,106.125,5.1,,
1200,0.5526134008749712,0.9034188079833985,,1.903439276710235e-05,5.71875,0.7783100950717926,,0.9153902733325958,,9.678,106.125,2.5,,
1250,0.5756389592447617,0.8821105194091797,,1.892270319835564e-05,5.875,0.7813678580522537,,0.8921647346019745,,9.678,106.125,2.5,,
1300,0.5986645176145522,0.8673004913330078,,1.8805268079756612e-05,6.09375,0.784967433810234,,0.8763877707719803,,9.678,106.125,3.0,,
1350,0.6216900759843427,0.8643109130859375,,1.8682163030690254e-05,6.53125,0.7876062649488449,,0.874675115942955,,9.678,106.125,3.5,,
1400,0.644715634354133,0.8396647644042968,,1.8553467321550387e-05,6.4375,0.7917512434720994,,0.8525427407026291,,9.678,106.125,9.4,,
1450,0.6677411927239235,0.8234624481201172,,1.8419263822695496e-05,8.75,0.7943663382530213,,0.8386812949180603,,9.678,106.125,1.5,,
1500,0.690766751093714,0.7963903045654297,,1.8279638951086426e-05,7.0,0.8014985978603363,,0.8121066117286682,,9.678,106.125,3.5,,
1500,0.690766751093714,,1.8627712726593018,,,,0.6553950320675735,,1.1007134378684544,9.678,106.125,3.5,66.2466,138.302
1550,0.7137923094635045,0.775042495727539,,1.8134682614640393e-05,7.03125,0.8055978614091873,,0.795585395693779,,9.678,106.125,4.5,,
1600,0.736817867833295,0.7492508697509765,,1.7984488154337027e-05,8.25,0.811392428278923,,0.7773931193351745,,9.678,106.125,3.0,,
1650,0.7598434262030854,0.746651382446289,,1.78291522841138e-05,7.3125,0.812160873413086,,0.7686340230703353,,9.678,106.125,2.0,,
1700,0.7828689845728759,0.7362962341308594,,1.7668775028589525e-05,8.0625,0.8165393680334091,,0.7605886536836625,,9.678,106.125,3.5,,
1750,0.8058945429426664,0.7086566925048828,,1.750345965865603e-05,8.6875,0.8207152712345124,,0.7391350734233856,,9.678,106.125,16.8,,
1800,0.8289201013124569,0.7081029510498047,,1.7333312624979464e-05,8.375,0.821788877248764,,0.7410998892784119,,9.678,106.125,2.0,,
1850,0.8519456596822473,0.6900714874267578,,1.7158443489454074e-05,8.375,0.8259723937511444,,0.7259167385101318,,9.678,106.125,10.9,,
1900,0.8749712180520378,0.6603837585449219,,1.697896485465258e-05,7.78125,0.8321599769592285,,0.7001216918230057,,9.678,106.125,3.0,,
1950,0.8979967764218282,0.6528437805175781,,1.67949922913186e-05,9.5625,0.8337932854890824,,0.6930675107240677,,9.678,108.531,2.5,,
2000,0.9210223347916187,0.6370824813842774,,1.660664426394777e-05,8.4375,0.8391406375169754,,0.6831009018421174,,9.678,108.531,4.5,,
2000,0.9210223347916187,,2.0148568153381348,,,,0.6479594862481894,,1.0246379750977428,9.678,108.531,8.0,65.882,139.067
2050,0.9440478931614091,0.6218701171875,,1.6414042054505517e-05,9.875,0.842554594874382,,0.668919997215271,,9.678,108.531,2.5,,
2100,0.9670734515311996,0.609082260131836,,1.6217309684330606e-05,9.0,0.8464709174633026,,0.6595665973424911,,9.678,108.531,4.0,,
2150,0.9900990099009901,0.5924824905395508,,1.60165738342747e-05,9.625,0.8496103930473328,,0.6481624102592468,,9.678,108.531,2.5,,
2200,1.0128943126870826,0.5612291717529296,,1.5811963763129457e-05,10.375,0.8574432285145076,,0.6221377069901939,,9.678,108.535,3.5,,
2250,1.035919871056873,0.5355485153198242,,1.5603611224393554e-05,11.0625,0.8639331370592117,,0.597500413954258,,9.678,108.535,3.6,,
2300,1.0589454294266636,0.5152266693115234,,1.5391650381433353e-05,11.0,0.8687619954347611,,0.5836510959267617,,9.678,108.535,4.0,,
2350,1.081970987796454,0.5154326629638671,,1.5176217721091784e-05,11.6875,0.8684883284568786,,0.5820168024301529,,9.678,108.535,2.0,,
2400,1.1049965461662445,0.5071057891845703,,1.4957451965801088e-05,13.125,0.8713414514064789,,0.5771749219298363,,9.678,108.535,2.5,,
2450,1.128022104536035,0.4927787780761719,,1.4735493984255997e-05,10.8125,0.8748693090677261,,0.5692125082015991,,9.678,108.535,4.0,,
2500,1.1510476629058255,0.4781806945800781,,1.451048670070488e-05,11.3125,0.8785626989603043,,0.5509975466132164,,9.678,108.535,4.0,,
2500,1.1510476629058255,,2.1720471382141113,,,,0.6413435444989962,,0.956759443249794,9.678,108.535,6.1,66.0979,138.613
2550,1.174073221275616,0.4649905014038086,,1.428257500291729e-05,9.5,0.8824692833423614,,0.5404802295565605,,9.678,108.535,3.5,,
2600,1.1970987796454065,0.45927642822265624,,1.4051905648887125e-05,12.1875,0.8851180213689804,,0.5367510467767715,,9.678,108.535,3.5,,
2650,1.220124338015197,0.4567535781860352,,1.3818627172331529e-05,12.125,0.8851787728071213,,0.5347240006923676,,9.678,108.535,3.5,,
2700,1.2431498963849874,0.43893367767333985,,1.3582889787046333e-05,15.5625,0.8894204092025757,,0.5199691620469094,,9.678,108.535,2.5,,
2750,1.2661754547547779,0.4295050048828125,,1.3344845290179682e-05,9.5625,0.891548421382904,,0.5118334898352623,,9.678,108.535,2.0,,
2800,1.2892010131245684,0.42310333251953125,,1.3104646964486065e-05,10.875,0.8931829088926315,,0.5089556074142456,,9.678,108.535,6.3,,
2850,1.3122265714943588,0.4100497055053711,,1.2862449479623785e-05,11.75,0.8967481219768524,,0.4963459786772728,,9.678,108.535,37.6,,
2900,1.3352521298641493,0.4186450958251953,,1.2618408792559284e-05,15.5625,0.895367568731308,,0.5027355620265007,,9.678,108.535,4.5,,
2950,1.3582776882339398,0.4114524459838867,,1.2372682047142625e-05,11.4375,0.8969718927145004,,0.4977289941906929,,9.678,108.535,4.0,,
3000,1.3813032466037303,0.39148014068603515,,1.2125427472918654e-05,10.875,0.9019936484098434,,0.48074820697307585,,9.678,108.535,2.5,,
3000,1.3813032466037303,,2.3692476749420166,,,,0.6349569833715548,,0.8812863803346743,9.678,108.535,4.0,65.8821,139.067
3050,1.4043288049735205,0.38398635864257813,,1.1876804283239066e-05,12.0625,0.9038455677032471,,0.47174853026866914,,9.678,108.535,11.7,,
3100,1.427354363343311,0.3766062927246094,,1.1626972572740993e-05,9.3125,0.9061553990840912,,0.4680537986755371,,9.678,108.535,3.0,,
3150,1.4503799217131015,0.3797421646118164,,1.1376093214258084e-05,9.9375,0.9057068365812302,,0.471304857134819,,9.678,108.535,3.5,,
3200,1.473405480082892,0.36025875091552734,,1.1124327755230503e-05,11.75,0.9101868617534637,,0.4549960541725159,,9.678,108.535,2.0,,
3250,1.4964310384526824,0.36777462005615236,,1.0871838313680543e-05,11.5,0.9086198669672012,,0.4605958005785942,,9.678,108.535,3.1,,
3300,1.519456596822473,0.3581194686889648,,1.0618787473820781e-05,9.8125,0.911820177435875,,0.4513445472717285,,9.678,108.535,3.0,,
3350,1.5424821551922634,0.33936779022216795,,1.0365338181362095e-05,8.875,0.916153193116188,,0.4366970229148865,,9.678,108.535,8.5,,
3400,1.5655077135620539,0.34775749206542966,,1.0111653638588862e-05,9.5625,0.9145515877008438,,0.4445426300168037,,9.678,108.535,3.0,,
3450,1.5885332719318443,0.34636028289794923,,9.85789719926899e-06,9.75,0.914272004365921,,0.44349654704332353,,9.678,108.535,4.0,,
3500,1.6115588303016348,0.33396339416503906,,9.604232263466333e-06,9.8125,0.918809140920639,,0.4327284449338913,,9.678,108.535,2.5,,
3500,1.6115588303016348,,2.4650018215179443,,,,0.6319047392038775,,0.8516236280479564,9.678,108.535,3.5,66.1393,138.526
3550,1.6345843886714253,0.3315296173095703,,9.35082217232338e-06,10.6875,0.9181848126649856,,0.42962887197732924,,9.678,108.535,3.0,,
3600,1.6576099470412158,0.3275247955322266,,9.097830102881811e-06,11.4375,0.9193516826629639,,0.42627487927675245,,9.678,108.535,3.0,,
3650,1.6806355054110063,0.3267608642578125,,8.845418963008776e-06,9.25,0.9206189525127411,,0.4252000719308853,,9.678,108.535,2.5,,
3700,1.7036610637807967,0.31316835403442383,,8.593751286496456e-06,10.375,0.9237584120035172,,0.4165054163336754,,9.678,108.535,3.5,,
3750,1.726686622150587,0.3149940872192383,,8.34298912840256e-06,8.8125,0.9237630331516266,,0.41317989468574523,,9.678,108.535,3.5,,
3800,1.7497121805203775,0.3267462539672852,,8.093293960699014e-06,10.375,0.9208371526002884,,0.4249774116277695,,9.678,108.535,3.5,,
3850,1.772737738890168,0.3161475372314453,,7.844826568296183e-06,10.0,0.9226161116361618,,0.4176474043726921,,9.678,108.535,2.0,,
3900,1.7957632972599584,0.3099938201904297,,7.597746945509461e-06,9.5625,0.9249117928743362,,0.4116314744949341,,9.678,108.535,3.5,,
3950,1.818788855629749,0.30218996047973634,,7.35221419303498e-06,9.9375,0.9267832857370376,,0.40439610183238983,,9.678,108.535,4.0,,
4000,1.8418144139995394,0.3081200981140137,,7.108386415500713e-06,10.3125,0.9253025740385056,,0.4117698049545288,,9.678,108.535,8.0,,
4000,1.8418144139995394,,2.5327939987182617,,,,0.6301875083754408,,0.8309297676069782,9.678,108.535,3.5,65.9282,138.969
4050,1.8648399723693299,0.3136624336242676,,6.866420619658998e-06,10.25,0.9236725884675979,,0.4163384485244751,,9.678,108.535,3.0,,
4100,1.8878655307391203,0.29389200210571287,,6.626472613285975e-06,8.5625,0.9291422861814499,,0.3986768779158592,,9.678,108.535,3.5,,
4150,1.9108910891089108,0.30177841186523435,,6.388696904853127e-06,10.125,0.9268996173143387,,0.40285601794719694,,9.678,108.535,3.0,,
4200,1.9339166474787013,0.31002267837524417,,6.15324660403541e-06,11.6875,0.9245099794864654,,0.4091699257493019,,9.678,108.535,4.0,,
4250,1.9569422058484918,0.30088687896728517,,5.920273323120156e-06,9.625,0.927382550239563,,0.4040518456697464,,9.678,108.535,5.0,,
4300,1.9799677642182822,0.2993981552124023,,5.689927079380155e-06,9.8125,0.927752885222435,,0.40137755781412127,,9.678,108.535,2.5,,
4350,2.002763067004375,0.2931881141662598,,5.462356198473824e-06,8.6875,0.9285050582404089,,0.39937518973543185,,9.678,108.535,3.5,,
4400,2.0257886253741653,0.2777102851867676,,5.23770721893462e-06,8.6875,0.9339902508258819,,0.3837548911571503,,9.678,108.535,9.0,,
4450,2.0488141837439557,0.28911542892456055,,5.016124797811256e-06,8.6875,0.9304617738723755,,0.39533561408519746,,9.678,108.535,2.0,,
4500,2.071839742113746,0.2772076988220215,,4.797751617519434e-06,9.125,0.9337839072942734,,0.3842149341106415,,9.678,108.535,3.0,,
4500,2.071839742113746,,2.588184356689453,,,,0.6286659818045132,,0.8123010240144131,9.678,108.535,3.0,66.3671,138.05
4550,2.0948653004835367,0.2933487319946289,,4.582728293965112e-06,8.0,0.9289781546592712,,0.3979372671246529,,9.678,108.535,15.7,,
4600,2.117890858853327,0.27902956008911134,,4.371193285998416e-06,10.8125,0.9330872476100922,,0.38481477051973345,,9.678,108.535,4.0,,
4650,2.1409164172231177,0.2798265266418457,,4.163282806256569e-06,9.4375,0.9327411895990372,,0.3847454553842545,,9.678,108.535,3.5,,
