step,epoch,loss,eval_loss,learning_rate,grad_norm,mean_token_accuracy,eval_mean_token_accuracy,entropy,eval_entropy,gpu_vram_used_gb,gpu_vram_reserved_gb,cpu_percent,eval_runtime_s,eval_samples_per_second
50,0.023028209556706966,3.105940856933594,,1.5030674846625768e-06,23.25,0.49519132792949677,,1.229543851017952,,45.836,81.93,2.0,,
100,0.04605641911341393,2.524203186035156,,3.0368098159509207e-06,8.0625,0.5264829477667808,,1.5361969953775405,,45.836,86.52,3.0,,
150,0.0690846286701209,1.6848373413085938,,4.570552147239265e-06,2.953125,0.6498503720760346,,1.6221056175231934,,45.836,86.52,3.0,,
200,0.09211283822682786,1.4562120056152343,,6.104294478527608e-06,3.109375,0.6848595318198204,,1.4603898882865907,,45.836,90.006,2.5,,
250,0.11514104778353483,1.3524639892578125,,7.638036809815951e-06,2.71875,0.7002611073851586,,1.3661311978101731,,45.836,90.006,3.0,,
300,0.1381692573402418,1.2843096923828126,,9.171779141104295e-06,2.5,0.7101436984539032,,1.284061833024025,,45.836,90.006,3.5,,
350,0.16119746689694875,1.218753662109375,,9.999659349369915e-06,2.609375,0.7202531102299691,,1.2171491521596909,,45.836,90.006,2.5,,
400,0.18422567645365573,1.1773072814941405,,9.996568733127598e-06,2.46875,0.7272861194610596,,1.1783043348789215,,45.836,90.006,4.0,,
450,0.20725388601036268,1.1453218841552735,,9.990260702374393e-06,2.703125,0.7325149416923523,,1.1488333639502526,,45.836,90.006,2.5,,
500,0.23028209556706966,1.1172547912597657,,9.980739319007728e-06,2.46875,0.7379732304811477,,1.1177622163295746,,45.836,90.006,3.5,,
500,0.23028209556706966,,1.4782168865203857,,,,0.6851648737748395,,1.2480624752344391,45.836,97.256,3.5,163.8122,55.93
550,0.2533103051237766,1.0943367767333985,,9.96801071408246e-06,2.578125,0.7411742609739304,,1.095847514271736,,45.836,97.256,3.0,,
600,0.2763385146804836,1.079685821533203,,9.952083083862942e-06,2.765625,0.7431562465429306,,1.078923910856247,,45.836,97.256,2.0,,
650,0.2993667242371906,1.0723571014404296,,9.932966684545241e-06,2.59375,0.7437641677260399,,1.0754858642816543,,45.836,97.256,2.0,,
700,0.3223949337938975,1.05288818359375,,9.910673825652925e-06,2.625,0.7468881237506867,,1.0539120864868163,,45.836,97.256,2.6,,
750,0.3454231433506045,1.0403362274169923,,9.885218862110641e-06,2.59375,0.7497168961167335,,1.0438356721401214,,45.836,97.256,3.6,,
800,0.36845135290731146,1.0257747650146485,,9.856618185000643e-06,2.875,0.7510169124603272,,1.0265797099471092,,45.836,97.256,4.0,,
850,0.39147956246401844,1.0201771545410157,,9.824890211008156e-06,2.953125,0.7506378662586212,,1.0235813653469086,,45.836,97.256,3.6,,
900,0.41450777202072536,1.0084183502197266,,9.790055370562413e-06,3.140625,0.7537972015142441,,1.0079936283826827,,45.836,98.439,2.5,,
950,0.43753598157743234,0.9822159576416015,,9.752136094681002e-06,3.15625,0.7594143533706665,,0.9863730493187904,,45.836,98.439,3.0,,
1000,0.4605641911341393,0.969853515625,,9.711156800525979e-06,3.40625,0.7614901545643806,,0.9727538120746613,,45.836,98.439,2.5,,
1000,0.4605641911341393,,1.5525659322738647,,,,0.6803776546889962,,1.1507080061526238,45.836,98.439,4.0,163.9453,55.884
1050,0.4835924006908463,0.9549397277832031,,9.66714387568104e-06,3.078125,0.7636872592568398,,0.9554642677307129,,45.836,98.439,2.0,,
1100,0.5066206102475532,0.9286756134033203,,9.620125661159917e-06,3.375,0.768811301290989,,0.9319579726457596,,45.836,98.439,3.0,,
1150,0.5296488198042603,0.9250431823730468,,9.570132433156885e-06,3.515625,0.7690689164400101,,0.926444753408432,,45.836,98.439,3.5,,
1200,0.5526770293609672,0.9097595977783203,,9.517196383551176e-06,3.859375,0.7730476391315461,,0.9144789332151413,,45.836,98.439,2.5,,
1250,0.5757052389176741,0.8902511596679688,,9.46135159917782e-06,4.125,0.7763990145921708,,0.8937062531709671,,45.836,98.439,2.5,,
1300,0.5987334484743811,0.8785561370849609,,9.402634039878306e-06,5.125,0.7795162400603295,,0.8795360949635506,,45.836,98.439,3.0,,
1350,0.6217616580310881,0.8782315826416016,,9.341081515345127e-06,4.53125,0.7807460966706276,,0.8806884214282036,,45.836,98.439,4.0,,
1400,0.644789867587795,0.8555120086669922,,9.276733660775194e-06,4.71875,0.7849095767736435,,0.8568512827157975,,45.836,98.439,12.1,,
1450,0.667818077144502,0.8337330627441406,,9.209631911347748e-06,5.84375,0.7882592353224754,,0.8379299521446228,,45.836,98.439,3.5,,
1500,0.690846286701209,0.8110464477539062,,9.139819475543213e-06,6.0625,0.7948909258842468,,0.8121610981225967,,45.836,98.439,4.0,,
1500,0.690846286701209,,1.6720184087753296,,,,0.6714307292743001,,1.0983617341658893,45.836,98.439,4.0,163.7343,55.957
1550,0.713874496257916,0.7834586334228516,,9.067341307320197e-06,5.71875,0.800253936946392,,0.7892428240180016,,45.836,98.439,3.5,,
1600,0.7369027058146229,0.7593019104003906,,8.992244077168514e-06,7.625,0.8064374721050263,,0.7668315094709396,,45.836,98.439,3.5,,
1650,0.7599309153713298,0.7533464050292968,,8.9145761420569e-06,6.34375,0.8069300597906113,,0.7596701017022133,,45.836,98.439,3.5,,
1700,0.7829591249280369,0.741116943359375,,8.834387514294762e-06,7.125,0.8106209748983383,,0.746824278831482,,45.836,98.439,4.0,,
1750,0.8059873344847438,0.7168914794921875,,8.751729829328014e-06,6.59375,0.816046392917633,,0.7272582557797432,,45.836,98.439,10.2,,
1800,0.8290155440414507,0.7128293609619141,,8.666656312489732e-06,7.96875,0.817271069586277,,0.7249173714220524,,45.836,98.439,3.5,,
1850,0.8520437535981578,0.6940461730957032,,8.579221744727037e-06,7.53125,0.8223888829350472,,0.7060208466649055,,45.836,98.439,5.0,,
1900,0.8750719631548647,0.6699844360351562,,8.48948242732629e-06,8.375,0.8268949338793754,,0.6865490068495274,,45.836,98.439,3.0,,
1950,0.8981001727115717,0.6569829559326172,,8.3974961456593e-06,8.6875,0.8303833743929863,,0.6735884284973145,,45.836,99.643,3.6,,
2000,0.9211283822682786,0.6455049896240235,,8.303322131973885e-06,7.78125,0.8336879873275757,,0.6680357564985752,,45.836,99.643,2.0,,
2000,0.9211283822682786,,1.798318862915039,,,,0.6648965839577887,,1.0310582688467724,45.836,99.643,3.0,163.4733,56.046
2050,0.9441565918249856,0.6213555145263672,,8.207021027252759e-06,9.0,0.8393374842405319,,0.6445697122812271,,45.836,99.643,3.0,,
